category,total_orders,total_revenue,avg_price
bed_bath_table,9200,1631231.53,89.29728534657106
health_beauty,8194,1243016.05,99.24454393956228
sports_leisure,7354,1161590.61,95.91902001212857
computers_accessories,6359,1337699.62,96.21686971689252
furniture_decor,6264,1345150.24,83.14427919595511
housewares,5643,979560.12,79.90240585774059
watches_gifts,4895,880111.86,130.0023311132255
telephony,4021,403194.71,56.27432078935291
toys,3675,509378.79,98.33083098230317
auto,3593,610995.65,100.84209058341864
cool_stuff,3325,565024.6,127.4709712643678
garden_tools,3305,659990.1,81.03435194174756
perfumery,3046,475008.76,112.1128484848485
baby,2682,393580.39,97.36759200841219
electronics,2493,219111.3,48.693953402366866
stationery,2240,291827.31,85.25184350675953
fashion_bags_accessories,1793,193180.0,67.31533980582525
pet_shop,1640,265996.86,92.25047466666668
sem_categoria,1344,203294.42,90.80445864156019
office_furniture,1234,618337.15,154.11194410692588
luggage_accessories,1008,174345.47,121.0477861163227
consoles_games,940,117229.85,87.2004757185332
home_appliances,714,63944.35,70.7749653259362
construction_tools_construction,678,175684.71,101.13433255269321
musical_instruments,500,92747.24,122.44227188081936
small_appliances,495,80051.77,110.04905555555555
books_general_interest,475,51774.27,67.43459302325581
home_construction,454,113107.11,111.3627610619469
food,441,45340.45,57.57745490981964
furniture_living_room,399,118912.02,122.01705020920502
home_confort,384,78513.26,126.40486935866984
audio,305,35420.92,86.82448275862069
drinks,285,67622.05,56.50094707520891
market_place,273,42504.2,84.97292763157895
books_technical,256,24437.39,71.11114068441064
construction_tools_lights,239,67369.14,124.48996644295303
fashion_shoes,235,31755.93,89.49984435797666
air_conditioning,226,65138.69,136.57577358490568
industry_commerce_and_business,221,42520.13,104.93909448818897
food_drink,219,25296.79,51.20966292134831
kitchen_dining_laundry_garden_furniture,219,53568.31,126.91116465863455
fixed_telephony,195,34333.7,83.64894273127754
art,194,21771.79,87.54234693877551
costruction_tools_garden,179,33751.62,82.11221719457014
construction_tools_safety,147,47059.340000000004,150.7555294117647
home_appliances_2,139,29773.04,170.08384615384617
signaling_and_security,135,53107.74,90.08131578947369
agro_industry_and_commerce,130,37545.79,171.9758823529412
christmas_supplies,125,18893.4,58.25226666666667
fashion_underwear_beach,117,12416.82,73.27519685039371
fashion_male_clothing,106,16723.46,83.61864
costruction_tools_tools,91,11598.45,92.6140625
furniture_bedroom,83,21999.1,154.4340425531915
tablets_printing_image,78,9130.14,80.95634146341463
cine_photo,61,7597.15,75.36014705882353
dvds_blu_ray,54,4261.76,41.07779661016949
books_imported,49,5638.17,65.5332142857143
party_supplies,37,5335.96,94.97536585365854
furniture_mattress_and_upholstery,37,5904.75,116.84810810810811
fashio_female_clothing,36,4902.67,58.55422222222222
music,36,4875.8,114.02444444444444
small_appliances_home_oven_and_coffee,31,4417.8,104.03129032258065
flowers,29,2213.01,33.63757575757575
fashion_sport,26,3605.83,72.2248275862069
diapers_and_hygiene,25,4126.17,40.56189189189189
home_comfort_2,24,1710.54,25.342333333333332
arts_and_craftmanship,23,2326.17,75.58375
unknown,15,1013.52,33.11764705882353
la_cuisine,13,2913.53,146.785
cds_dvds_musicals,12,1199.43,52.142857142857146
portateis_cozinha_e_preparadores_de_alimentos,9,554.32,35.883
pc_gamer,7,1925.01,163.36875
fashion_childrens_clothes,7,718.98,74.27857142857144
security_and_services,2,324.51,141.64499999999998
computers,1,52.84,34.5
