state,total_orders,total_revenue,total_customers
SP,39217,6210358.48,37917
RJ,11871,2119526.42,11455
MG,10922,1843063.14,10584
RS,5148,935885.1,4974
PR,4745,852690.84,4595
SC,3395,609923.51,3303
BA,3106,596913.86,3010
DF,1988,330035.38,1930
ES,1926,307515.71,1862
GO,1867,400827.12,1808
PE,1500,272353.54,1461
CE,1199,258528.56,1178
PA,878,185069.77,855
MT,827,170947.22,798
MA,677,150397.22,661
MS,669,121096.51,650
PB,469,122184.95,457
RN,440,83185.85,431
PI,439,96459.52,427
AL,359,71005.29,351
SE,314,63676.38,309
TO,253,50944.1,247
RO,226,46119.49,215
AM,137,26937.19,132
AC,72,18521.52,68
AP,62,14544.6,61
RR,39,9575.16,38
